name,generation,price,ubication
Harley Davidson Pan América Special 1250,2022,161800000 pesos,Medellín - Antioquia
Harley-david Street Glide 114,2022,187800000 pesos,Medellín - Antioquia
Harley Davidson Road King,2022,151800000 pesos,Medellín - Antioquia
Hero Eco Deluxe Cw Mejorada!!!,2022,6190000 pesos,Popayán - Cauca
Apollo 2022,2023,8400000 pesos,Medellín - Antioquia
 Yamaha Fz25 Edicion Especial Storm Modelo 2024 0km,2024,15900000 pesos,Medellín - Antioquia
Yamaha Fz-s 150 2.0 Modelo 2024,2024,10600000 pesos,Medellín - Antioquia
Suzuki Gixxer Sf Fi  250 Abs,2024,16330000 pesos,Teusaquillo - Bogotá D.C.
Motocarro Natsuki Estaca Con Cabina,2023,23940000 pesos,Barranquilla - Atlántico
Suzuki Access 125cc 2021  - Financiable,2022,10147000 pesos,Teusaquillo - Bogotá D.C.
Cuatrimoto 250cc Raptor 2023 Nuevas Plr,2023,15999900 pesos,Usaquén - Bogotá D.C.
Ycf  88cc Star Pitbike Enduro Cross Supermotard  ,2022,4900000 pesos,Medellín - Antioquia
Flfbs Fatboy 114,2022,150800000 pesos,Barranquilla - Atlántico
Ktm 2022,2022,17524306 pesos,Medellín - Antioquia
Yamaha Ybrz 125 Modelo 2024 0 Km ,2024,8400000 pesos,Medellín - Antioquia
Cuatrimoto Plr Raptor 200cc Mecánica Motor 4t,2023,11999900 pesos,Usaquén - Bogotá D.C.
Moto Kymco Twist 125cc Nueva Bucaramanga,2023,7419000 pesos,Bucaramanga - Santander
Vespa Vxl 150cc Con Frenos Abs,2023,14990000 pesos,Manizales - Caldas
Motor 250cc Natsuki,2023,2737000 pesos,Barranquilla - Atlántico
 Yamaha Szrr 150 Edicion Especial Dark  Modelo 2024 0 Km ,2024,9450000 pesos,Medellín - Antioquia
Aprilia Rs 660cc,2022,69990000 pesos,Manizales - Caldas
Aprilia Tuareg 660cc,2022,74990000 pesos,Manizales - Caldas
Motor Natsuki 300cc Refrigerado Por Agua,2023,3213000 pesos,Barranquilla - Atlántico
Dominar 250 Touring,2023,14449000 pesos,Engativa - Bogotá D.C.
Discover 125 St-r,2024,7750000 pesos,Antonio Nariño - Bogotá D.C.
Kymco Agility Fusión ,2024,10499000 pesos,Medellín - Antioquia
Dominar 400 Touring,2023,17724000 pesos,Antonio Nariño - Bogotá D.C.
Pulsarmania Ns 200 Fi 2024,2023,12199000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar N250 ,2023,14350000 pesos,Antonio Nariño - Bogotá D.C.
Discover St 125,2023,7424000 pesos,Engativa - Bogotá D.C.
Pulsar 180 Fi ,2023,9274000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi Pulsar Mania,2023,11624000 pesos,Engativa - Bogotá D.C.
Boxer Ct 100 Es,2023,5849000 pesos,Teusaquillo - Bogotá D.C.
Bajaj Discover 125 2024,2022,7674000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj Dominar 250  Pro Sport ,2023,14849000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 250 Fi Abs 2023 Gris Piedra Touring,2023,14724000 pesos,Antonio Nariño - Bogotá D.C.
Nueva Boxer 150x 2024 Negro Gris/azul,2023,6899000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 400 Touring  Verde Army 2024,2023,18149000 pesos,Antonio Nariño - Bogotá D.C.
Honda Xblade 2024,2024,3742440 pesos,Usaquén - Bogotá D.C.
Triumph Bonneville T100,2023,79990000 pesos,Medellín - Antioquia
Honda Cb190r 2024 Tolima ,2023,13950000 pesos,Ibagué - Tolima
Honda Cb190r 2024 Popayán ,2023,13950000 pesos,Popayán - Cauca
Honda Cb190r 2024 Bucaramanga ,2023,13950000 pesos,Bucaramanga - Santander
Honda Cb190r 2024 Cedritos,2023,13950000 pesos,Usaquén - Bogotá D.C.
Honda Cb190r 2024 Venecia,2023,13950000 pesos,Tunjuelito - Bogotá D.C.
Pulsar 180 Fi 2024,2023,9399000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj Pulsar Ns200 Abs  2023,2023,13399000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj  Dominar 400 Pro Accesorizada 2024,2023,18149000 pesos,Antonio Nariño - Bogotá D.C.
 Dominar 400 Cali,2023,17999000 pesos,Cali - Valle Del Cauca
Pulsar Ns 160 Fi Abs Cali,2024,10499000 pesos,Cali - Valle Del Cauca
Pulsar N 160 Fi Abs ,2024,10799000 pesos,Teusaquillo - Bogotá D.C.
Pulsar N 250,2023,14350000 pesos,Antonio Nariño - Bogotá D.C.
"Honda Cb 125 F , Modelo 2024",2024,7500000 pesos,Barrios Unidos - Bogotá D.C.
"Honda Xre 190, Modelo 2023",2023,17820000 pesos,Barrios Unidos - Bogotá D.C.
Discover St 125,2023,7424000 pesos,Antonio Nariño - Bogotá D.C.
Honda Cb190r 2024 Huila,2023,13950000 pesos,Neiva - Huila
Triumph Trident,2023,58990000 pesos,Medellín - Antioquia
Pulsar Ns 200 Fi,2023,11324000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 250 ,2023,14449000 pesos,Engativa - Bogotá D.C.
Bajaj Ns160 Fi Abs,2023,10499000 pesos,Antonio Nariño - Bogotá D.C.
Dominar D400 Financiada,2023,17300000 pesos,Engativa - Bogotá D.C.
Pulsar N160 Fi Dual Abs 2024 Plata Mate,2024,10799000 pesos,Antonio Nariño - Bogotá D.C.
Motocarro Ceronte Tricargo 200cc Nueva Bucaramanga,2024,15990000 pesos,Bucaramanga - Santander
Honda Xr190l,2024,14315000 pesos,Usaquén - Bogotá D.C.
Honda Navi,2024,2429460 pesos,Suba - Bogotá D.C.
Pulsar Rs 200 Fi Abs,2023,13999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 180 Fi Modelo 2023 ,2023,9149000 pesos,Ciudad Bolívar - Bogotá D.C.
Pulsar Ns 200 Fi Abs,2023,13024000 pesos,Antonio Nariño - Bogotá D.C.
Boxer 150x Modelo 2024,2023,6899000 pesos,Chapinero - Bogotá D.C.
Discover 125 St-r Pro 2023,2023,7474000 pesos,Teusaquillo - Bogotá D.C.
Pulsar 180 Fi 2023 Pulsarmania,2023,9349000 pesos,Teusaquillo - Bogotá D.C.
Dominar 250 2023,2023,14449000 pesos,Engativa - Bogotá D.C.
Yamaha T-max  Modelo 2023 0km,2023,85000000 pesos,Medellín - Antioquia
Bóxer Bm 150 X ,2024,6899000 pesos,Teusaquillo - Bogotá D.C.
Bajaj Boxer Ct 100 Es 2024 Manizales,2023,6350000 pesos,Manizales - Caldas
Triumph Tiger 1200 Rally Explorer,2023,159990000 pesos,Medellín - Antioquia
Pulsar 180 Fi Pro A Credito Bogota ,2024,9649000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Rs 200 2023,2023,13774000 pesos,Antonio Nariño - Bogotá D.C.
Boxer Ct 125,2024,6850000 pesos,Engativa - Bogotá D.C.
Bajaj Discover S-t-r 125 Modelo 2023,2023,7424000 pesos,Engativa - Bogotá D.C.
Discover 125 St,2023,7750000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Rs 200 Fi Abs 2023,2023,13774000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 200 Fi Abs 2023 Pulsarmania,2023,13324000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 200 Fi,2023,10999000 pesos,Engativa - Bogotá D.C.
"Honda Pcx 160 Abs , Modelo 2024",2024,17550000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar 180 Fi ,2023,9274000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 400 ,2023,17499000 pesos,Engativa - Bogotá D.C.
Pulsar 160 Fi Bajaj Abs,2023,10499000 pesos,Cali - Valle Del Cauca
Boxer Ct 100 Es 2023 Bogotá,2023,5849000 pesos,Engativa - Bogotá D.C.
Pulsar  160 Fi Abs 2023 Bogotá,2022,10074000 pesos,Engativa - Bogotá D.C.
Discover St 125 Credito ,2023,7424000 pesos,Engativa - Bogotá D.C.
Cross 60cc A Gasolina Para Niños Pitbike,2023,2200000 pesos,Medellín - Antioquia
Yamaha Mt 15 Modelo 2024 O Km,2023,16000000 pesos,Medellín - Antioquia
Seat Mó*,2023,34490000 pesos,Suba - Bogotá D.C.
Pulsar 180 Fi,2023,9399000 pesos,Antonio Nariño - Bogotá D.C.
Pulsarmania 160 Fi ,2023,10299000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 160 Fi Abs ,2023,10499000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 125 ,2023,7699000 pesos,Antonio Nariño - Bogotá D.C.
Vstrom 650 Modelo 2024,2024,51209000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar Ns 200 Fi,2023,11324000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 400,2023,17599000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi,2024,11899000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 400 A Credito Bogota ,2024,17999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 180 Fi Pulsarmania ,2023,9474000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 160 Fi ,2023,9499000 pesos,Ciudad Bolívar - Bogotá D.C.
Bajaj Boxer Ct 125 ,2023,6549000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 160 Fi ,2023,9574000 pesos,Teusaquillo - Bogotá D.C.
Moto Pulsar Ns 200 Fi Abs Pulsarmania 2023,2023,13699000 pesos,Teusaquillo - Bogotá D.C.
Pulsar 160 Fi 2023,2023,9299000 pesos,Teusaquillo - Bogotá D.C.
Suzuki Gsx -r 150 Abs 2023 ,2023,14860000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar Ns 160 Fi Abs ,2023,10074000 pesos,Suba - Bogotá D.C.
Dominar 250  Cali,2023,14999000 pesos,Cali - Valle Del Cauca
Motos Para Niños A Gasolina 110cc Motocross Pitbike 4 Tiempo,2023,4600000 pesos,Medellín - Antioquia
Nuena Pulsa N 160 Fi Dual,2024,10999000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj Pulsar Ns 160 Fi 2024 Manizales,2023,9999000 pesos,Manizales - Caldas
Pulsarmania Ns 125 ,2023,7899000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi Abs Bajaj,2023,12974000 pesos,Engativa - Bogotá D.C.
Honda Xre190 Dlx 2024 Cedritos,2023,17820000 pesos,Usaquén - Bogotá D.C.
Honda Xre190 Dlx 2024 Huila ,2023,17820000 pesos,Neiva - Huila
Honda Xre190 Dlx 2024 Tolima ,2023,17820000 pesos,Ibagué - Tolima
Honda Xre190 Dlx 2024 Popayán,2023,17820000 pesos,Popayán - Cauca
Honda Xre190 Dlx 2024 Venecia,2023,17820000 pesos,Tunjuelito - Bogotá D.C.
Honda Xre190 Dlx 2024 Bucaramanga ,2023,17820000 pesos,Bucaramanga - Santander
Pulsar 125,2023,7699000 pesos,Antonio Nariño - Bogotá D.C.
Triumph Street Triple Rs,2023,79990000 pesos,Medellín - Antioquia
Pulsar Ns 200 Fi Abs A Credito Bogota ,2024,13399000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 125 A Credito Bogota ,2024,7699000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 400 Touring 2023,2023,17724000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 250,2023,14449000 pesos,Bogota - Cundinamarca
Ns 200 Fi Pulsarmania,2023,11624000 pesos,Bogota - Cundinamarca
Boxer 150 X,2024,6899000 pesos,Teusaquillo - Bogotá D.C.
Pulsar 180 Fi Neon Pulsarmania ,2023,9474000 pesos,Teusaquillo - Bogotá D.C.
Honda Cb 190r Racing 2024,2023,13750000 pesos,Suba - Bogotá D.C.
Pulsar 180 Pro Fi Modelo 2023,2023,9474000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Mania  Ns 160 Fi ,2023,9924000 pesos,Cali - Valle Del Cauca
Pulsar Ns 200 Fi Abs,2023,13024000 pesos,Cali - Valle Del Cauca
Boxer Ct 100 Es Alloy Titanium Credito Cali Valle,2023,6199000 pesos,Cali - Valle Del Cauca
Bajaj Pulsar Ns 200 Fi Abs Pulsarmania,2023,13699000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 150 Neon 2023,2022,8024000 pesos,Teusaquillo - Bogotá D.C.
Fz150 Yamaha  Modelo 2024,2024,10600000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi Abs Cali,2024,13399000 pesos,Cali - Valle Del Cauca
Boxer Ct 125 ,2024,6850000 pesos,Cali - Valle Del Cauca
Dominar D 400 Touring Accesorizada ,2024,18149000 pesos,Teusaquillo - Bogotá D.C.
Bajaj Pulsar N160,2024,10799000 pesos,Cali - Valle Del Cauca
Victory Black 171 2024,2024,12790000 pesos,Pereira - Risaralda
 Bajaj Platino 125,2024,6699000 pesos,Bello - Antioquia
Bajaj Torito 2023 La Dorada,2023,16690000 pesos,La Dorada - Caldas
Bajaj Boxer Ct 125  2024 La Dorada,2023,6850000 pesos,La Dorada - Caldas
Bajaj Pulsar N250 Fi Abs 2024  La Dorada,2023,14350000 pesos,La Dorada - Caldas
Bajaj Pulsar N250 Fi Abs 2024 Pereira,2023,14350000 pesos,Pereira - Risaralda
Can-am Maverick X3 Mr Turbo Rr,2023,214990000 pesos,Medellín - Antioquia
Suzuki Gixxer Fi 150 Modelo 2023 ,2023,10097000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar N250 ,2024,13999000 pesos,Engativa - Bogotá D.C.
Honda Xr190l 2024 Bucaramanga ,2023,14315000 pesos,Bucaramanga - Santander
Honda Xr190l 2024 Huila,2023,14315000 pesos,Neiva - Huila
Honda Xr190l 2024 Tolima ,2023,14315000 pesos,Ibagué - Tolima
Honda Xr190l 2024 Popayán ,2023,14315000 pesos,Popayán - Cauca
Honda Xr190l 2024 Cedritos,2023,14315000 pesos,Usaquén - Bogotá D.C.
Honda Xr190l 2024 Venecia,2023,14315000 pesos,Tunjuelito - Bogotá D.C.
Boxer 150 X,2023,6899000 pesos,Cali - Valle Del Cauca
Magnifica Pulsar 180 ,2023,9274000 pesos,Antonio Nariño - Bogotá D.C.
Boxer Ct 125,2024,6850000 pesos,Cali - Valle Del Cauca
Discover St 125 A Credito Bogota ,2024,7674000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Rs 200 Fi Abs A Credito Bogota ,2024,13999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 200 Fi 2023,2023,11324000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Rs 200 Fi Abs,2023,13774000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi Abs ,2023,12974000 pesos,Teusaquillo - Bogotá D.C.
Pulsar N 160 Fi Abs Dual ,2024,10799000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 200 Fi ,2024,11899000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 160 Fi Abs Modelo 2023 Pulsarmania ,2023,10324000 pesos,Teusaquillo - Bogotá D.C.
Dominar 250,2023,14299000 pesos,Engativa - Bogotá D.C.
Platino 125,2023,6399000 pesos,Engativa - Bogotá D.C.
Boxer 150 X,2023,6599000 pesos,Cali - Valle Del Cauca
Boxer Ct 100 Es Moto Financiada Cali,2023,5999000 pesos,Cali - Valle Del Cauca
Boxer Ct100 Es ,2023,5999000 pesos,Engativa - Bogotá D.C.
Dominar 400 Touring ,2023,17724000 pesos,Teusaquillo - Bogotá D.C.
Dominar 400 Ug2 Cali,2024,17999000 pesos,Cali - Valle Del Cauca
Tvs Apache 180 2023,2023,8999999 pesos,Barrios Unidos - Bogotá D.C.
Moto Cross 60cc 2 Tiempos Para Niños A Gasolina,2021,2200000 pesos,Medellín - Antioquia
Bajaj Pulsar Ns 160 Fi,2024,9999000 pesos,Cali - Valle Del Cauca
La Nueva Pulsar N 160 2024,2024,10999000 pesos,Puente Aranda - Bogotá D.C.
Honda Xre190 Abs,2024,17820000 pesos,Usaquén - Bogotá D.C.
Victory Advance R 125 2024 Tk,2024,6599000 pesos,Pereira - Risaralda
Victory Mrx 125 2023,2023,8139000 pesos,Pereira - Risaralda
Bajaj Boxer Ct 100ks ,2024,5999000 pesos,Bello - Antioquia
Bajaj Dominar 250 2024 Manizales,2023,14999000 pesos,Manizales - Caldas
Bajaj Discover 125 St-r 2024 La Dorada,2023,7674000 pesos,La Dorada - Caldas
"Honda , Pcx 160 Abs , Modelo 2024",2024,17550000 pesos,Barrios Unidos - Bogotá D.C.
Suzuki Gn 125f,2023,6628000 pesos,Barrios Unidos - Bogotá D.C.
Boxer Ct 100 Alloy,2024,6449000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar N250 ,2024,14350000 pesos,Cali - Valle Del Cauca
Boxer Ct100 Alloy,2023,6199000 pesos,Antonio Nariño - Bogotá D.C.
Honda Navi 2024 Venecia,2023,7240000 pesos,Tunjuelito - Bogotá D.C.
Honda Navi 2024 Huila,2023,7240000 pesos,Neiva - Huila
Honda Navi 2024 Tolima,2023,7240000 pesos,Ibagué - Tolima
Honda Navi 2024 Popayan,2023,7240000 pesos,Popayán - Cauca
Honda Navi 2024 Cedritos,2023,7240000 pesos,Usaquén - Bogotá D.C.
Honda Navi 2024 Bucaramanga,2023,7240000 pesos,Bucaramanga - Santander
Boxer Ct 100 Titanium,2023,6199000 pesos,Puente Aranda - Bogotá D.C.
Triumph Tiger 900 Rally Pro,2023,108990000 pesos,Usaquén - Bogotá D.C.
Boxer X 150,2023,6599000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj Pulsar  Ns 200 Fi Abs Nueva,2024,13399000 pesos,Medellín - Antioquia
Pulsar Ns 160 Fi Abs,2023,10074000 pesos,Antonio Nariño - Bogotá D.C.
Baja Pulsar Ns 160  ,2023,9624000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 160 Fi,2024,9999000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi,2023,11324000 pesos,Bogota - Cundinamarca
Suzuki Gixxer Fi 150 Abs Modelo 2023 ,2023,11147000 pesos,Barrios Unidos - Bogotá D.C.
Ns 160 Fi,2023,9624000 pesos,Engativa - Bogotá D.C.
 Pulsar Ns 200 Fi Bajaj ,2023,11899000 pesos,Cali - Valle Del Cauca
Pulsar Ns 160 Fi Bajaj Abs,2023,10074000 pesos,Engativa - Bogotá D.C.
Pulsar 160 Fi 2023 Bogotá,2022,9624000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 160 Fi 2023,2023,9624000 pesos,Engativa - Bogotá D.C.
Discover 125 2023 Pro ,2022,7599000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 200 Fi Abs 2023,2022,13324000 pesos,Teusaquillo - Bogotá D.C.
Xtz125 Yamaha Modelo 2023,2023,10500000 pesos,Engativa - Bogotá D.C.
R15 Yamaha Modelo 2023,2023,15450000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi Cali ,2024,11899000 pesos,Cali - Valle Del Cauca
Moto Ktm 390 Duke Ng Nueva Bucaramanga,2023,31990000 pesos,Bucaramanga - Santander
Bajaj Dominar D400,2023,17574000 pesos,Cali - Valle Del Cauca
Bajaj Discover Str 125 Sport,2024,7750000 pesos,Cali - Valle Del Cauca
Brp Can Am Maverick Sport 1000,2023,165990000 pesos,Chapinero - Bogotá D.C.
Bajaj Pulsarmania 200fi Abs ,2023,13324000 pesos,Bello - Antioquia
Bajaj Boxer 150x 2024 La Dorada,2023,6899000 pesos,La Dorada - Caldas
Bajaj Motocarro Maxima Cargo 2023 La Dorada,2023,18490000 pesos,La Dorada - Caldas
Bajaj Pulsar Ns 160 Fi 2024 Pereira,2023,9999000 pesos,Pereira - Risaralda
Bajaj Dominar 250 2024 Pereira,2023,14999000 pesos,Pereira - Risaralda
Bajaj Pulsar Ns 200 Fi 2024 La Dorada,2023,11899000 pesos,La Dorada - Caldas
"Honda , Dio 110, Modelo 2023",2023,7300000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar 180,2023,9274000 pesos,Barrios Unidos - Bogotá D.C.
Dominar 250 Touring,2023,14774000 pesos,Barrios Unidos - Bogotá D.C.
Honda Pcx 160 Abs 2024 Venecia,2024,17550000 pesos,Tunjuelito - Bogotá D.C.
Suzuki Dr 150 ,2023,11130000 pesos,Barrios Unidos - Bogotá D.C.
Suzuki Gn 125 F Modelo 2023 ,2023,6628000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xr150l 2024 Popayán ,2023,11130000 pesos,Popayán - Cauca
Honda Xr150l 2024 Huila ,2023,11130000 pesos,Neiva - Huila
Honda Xr150l 2024 Cedritos,2023,11130000 pesos,Usaquén - Bogotá D.C.
Honda Xr150l 2024 Venecia,2023,11130000 pesos,Tunjuelito - Bogotá D.C.
Honda Xr150l 2024 Tolima ,2023,11130000 pesos,Ibagué - Tolima
Honda Xr150l 2024 Bucaramanga ,2023,11130000 pesos,Bucaramanga - Santander
Dominar 400 Touring,2024,18149000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 125 ,2023,7674000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 160 Fi A Credito Bogota ,2024,9999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 160 2023,2023,9624000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 125 Modelo 2023 ,2023,7399000 pesos,Ciudad Bolívar - Bogotá D.C.
Suzuki  Gixxer 250 Naked Modelo 2024,2023,15580000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar N 160 Fi Dual Abs 2024 Plata Mate  ,2024,10999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns160 Fi,2023,9624000 pesos,Bogota - Cundinamarca
Discover 125 Pro,2023,7599000 pesos,Bogota - Cundinamarca
Boxer Ct 100 Es ,2023,5999000 pesos,Engativa - Bogotá D.C.
Dominar 400 Touring - Accesorizada,2023,17724000 pesos,Engativa - Bogotá D.C.
Pulsarmania Ns  200 Fi Abs.,2023,13324000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Rs 200 ,2023,13774000 pesos,Teusaquillo - Bogotá D.C.
Boxer Ct 100,2023,5849000 pesos,Engativa - Bogotá D.C.
Pulsar 180 Fi 2023 Edicion Pro,2023,9474000 pesos,Antonio Nariño - Bogotá D.C.
Nueva Apache 200 4v California. ,2023,11799000 pesos,Kennedy - Bogotá D.C.
Gixxer 250 Naked,2023,15580000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar Rs 200 Fi Abs,2022,13999000 pesos,Engativa - Bogotá D.C.
Ct 100 Es Alloy Bajaj,2022,6449000 pesos,Engativa - Bogotá D.C.
Discover 125 St Bajaj,2023,7849000 pesos,Engativa - Bogotá D.C.
 Boxer Ct 100 Es Bajaj  ,2023,6350000 pesos,Cali - Valle Del Cauca
Dominar 400 Bajaj,2023,17380000 pesos,Engativa - Bogotá D.C.
Dominar 250 2023 Bogotá,2022,14449000 pesos,Engativa - Bogotá D.C.
Bajaj Pulsar Ns 160 Fi  2023,2023,9574000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 160 Fi 2023 Pulsarmania ,2022,10374000 pesos,Teusaquillo - Bogotá D.C.
Yamaha Xtz150 Modelo 2024,2024,12700000 pesos,Engativa - Bogotá D.C.
Victory Mrx Arizona 200,2024,11490000 pesos,Kennedy - Bogotá D.C.
Victory Life 125 2024,2024,7649000 pesos,Barrios Unidos - Bogotá D.C.
Benelli 180s 2024,2023,13649000 pesos,Barrios Unidos - Bogotá D.C.
Motocarro Bajaj Modelo 2022,2023,22690000 pesos,Rafael Uribe Uribe - Bogotá D.C.
Yamaha  Tenere 700 2022,2023,69900000 pesos,Envigado - Antioquia
Kymco Agility Go 125 2024,2024,9769000 pesos,Pereira - Risaralda
Victory Nitro 125 2024,2024,6899000 pesos,Pereira - Risaralda
Yamaha Nmax 2024,2024,17800000 pesos,Suba - Bogotá D.C.
Bajaj Boxer Ct 125,2024,6850000 pesos,Bello - Antioquia
Bajaj Boxer Ct 100 Es Alloy,2024,6550000 pesos,Bello - Antioquia
Bajaj Pulsar 150neon ,2023,8024000 pesos,Bello - Antioquia
Bajaj Pulsar 180fi Neon ,2023,9274000 pesos,Bello - Antioquia
Bajaj Pulsar Rs 200,2023,13774000 pesos,Bello - Antioquia
Bajaj Boxer Ct 100 Es ,2024,6350000 pesos,Bello - Antioquia
Bajaj Pulsar Ns 200 Fi Abs ,2023,13399000 pesos,Bello - Antioquia
Bajaj Dominar 400 Touring Abs 2024 La Dorada,2023,18149000 pesos,La Dorada - Caldas
Bajaj Boxer Ct 100 Es 2024 La Dorada,2023,6350000 pesos,La Dorada - Caldas
Bajaj Boxer Ct 100 Es 2024 Pereira,2024,6350000 pesos,Pereira - Risaralda
Bajaj Dominar 400 Touring Abs 2024 Pereira,2023,18149000 pesos,Pereira - Risaralda
Honda Xr150l,2024,11130000 pesos,Suba - Bogotá D.C.
Nueva Honda Pcx160 2024!! ,2024,17550000 pesos,Suba - Bogotá D.C.
Dominar 400,2023,17724000 pesos,Barrios Unidos - Bogotá D.C.
"Honda , X-blade 160, Modelo 2023",2023,11600000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar Ns 160,2023,9624000 pesos,Barrios Unidos - Bogotá D.C.
Honda Pcx 160 Abs 2024 Tolima ,2024,17550000 pesos,Ibagué - Tolima
Honda Pcx 160 Abs 2024 Huila ,2024,17550000 pesos,Neiva - Huila
Honda Pcx 160 Abs 2024 Cedritos,2024,17550000 pesos,Usaquén - Bogotá D.C.
Honda Pcx 160 Abs 2024 Bucaramanga ,2024,17550000 pesos,Bucaramanga - Santander
Honda Pcx 160 Abs 2024 Popayán ,2024,17550000 pesos,Popayán - Cauca
Pulsar Rs 200 Fi Abs,2023,13774000 pesos,Engativa - Bogotá D.C.
Honda Pcx 160 Abs 2024 Barranquilla ,2024,17550000 pesos,Barranquilla - Atlántico
Honda Pcx 160 Abs 2024 Cartagena ,2024,17550000 pesos,Cartagena De Indias - Bolívar
Honda Xre300 Abs Dlx 2024 Cedritos,2023,31100000 pesos,Usaquén - Bogotá D.C.
Honda Xre300 Abs Dlx 2024 Huila ,2023,31100000 pesos,Neiva - Huila
Honda Xre300 Abs Dlx 2024 Tolima ,2023,31100000 pesos,Ibagué - Tolima
Honda Xre300 Abs Dlx 2024 Popayán ,2023,31100000 pesos,Popayán - Cauca
Honda Xre300 Abs Dlx 2024 Venecia,2023,31100000 pesos,Tunjuelito - Bogotá D.C.
Honda Xre300 Abs Dlx 2024 Bucaramanga ,2023,31100000 pesos,Bucaramanga - Santander
Honda Wave110s 2024 Popayán ,2023,7770000 pesos,Popayán - Cauca
Honda Wave110s 2024 Tolima,2023,7770000 pesos,Ibagué - Tolima
Honda Wave110s 2024 Huila,2023,7770000 pesos,Neiva - Huila
Honda Wave110s 2024 Cedritos,2023,7770000 pesos,Usaquén - Bogotá D.C.
Honda Wave110s 2024 Venecia,2023,7770000 pesos,Tunjuelito - Bogotá D.C.
Honda Wave110s 2024 Bucaramanga ,2023,7770000 pesos,Bucaramanga - Santander
 Yamaha Crypton Fi  Edicion Especial White Modelo 2024 0 Km ,2024,8980000 pesos,Medellín - Antioquia
Pulsar N160 Dual Fi,2024,10799000 pesos,Cali - Valle Del Cauca
Dominar D 250 Bajaj,2023,14999000 pesos,Cali - Valle Del Cauca
Honda Xblade160 Abs 2024 Venecia,2023,11600000 pesos,Tunjuelito - Bogotá D.C.
Honda Xblade160 Abs 2024 Huila,2023,11600000 pesos,Neiva - Huila
Honda Xblade160 Abs 2024 Tolima ,2023,11600000 pesos,Ibagué - Tolima
Honda Xblade160 Abs 2024 Popayán,2023,11600000 pesos,Popayán - Cauca
