name,generation,price,city,departament
Pulsar Ns 160 Fi ,2023,9574000.0,Teusaquillo , Bogotá D.C.
Moto Pulsar Ns 200 Fi Abs Pulsarmania 2023,2023,13699000.0,Teusaquillo , Bogotá D.C.
Pulsar 160 Fi 2023,2023,9299000.0,Teusaquillo , Bogotá D.C.
Suzuki Gsx -r 150 Abs 2023 ,2023,14860000.0,Barrios Unidos , Bogotá D.C.
Pulsar Ns 160 Fi Abs ,2023,10074000.0,Suba , Bogotá D.C.
Dominar 250  Cali,2023,14999000.0,Cali , Valle Del Cauca
Motos Para Niños A Gasolina 110cc Motocross Pitbike 4 Tiempo,2023,4600000.0,Medellín , Antioquia
Nuena Pulsa N 160 Fi Dual,2024,10999000.0,Antonio Nariño , Bogotá D.C.
Bajaj Pulsar Ns 160 Fi 2024 Manizales,2023,9999000.0,Manizales , Caldas
Pulsarmania Ns 125 ,2023,7899000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi Abs Bajaj,2023,12974000.0,Engativa , Bogotá D.C.
Honda Xre190 Dlx 2024 Cedritos,2023,17820000.0,Usaquén , Bogotá D.C.
Honda Xre190 Dlx 2024 Huila ,2023,17820000.0,Neiva , Huila
Honda Xre190 Dlx 2024 Tolima ,2023,17820000.0,Ibagué , Tolima
Honda Xre190 Dlx 2024 Popayán,2023,17820000.0,Popayán , Cauca
Honda Xre190 Dlx 2024 Venecia,2023,17820000.0,Tunjuelito , Bogotá D.C.
Honda Xre190 Dlx 2024 Bucaramanga ,2023,17820000.0,Bucaramanga , Santander
Pulsar 125,2023,7699000.0,Antonio Nariño , Bogotá D.C.
Triumph Street Triple Rs,2023,79990000.0,Medellín , Antioquia
Pulsar Ns 200 Fi Abs A Credito Bogota ,2024,13399000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 125 A Credito Bogota ,2024,7699000.0,Antonio Nariño , Bogotá D.C.
Dominar 400 Touring 2023,2023,17724000.0,Antonio Nariño , Bogotá D.C.
Dominar 250,2023,14449000.0,Bogota , Cundinamarca
Ns 200 Fi Pulsarmania,2023,11624000.0,Bogota , Cundinamarca
Boxer 150 X,2024,6899000.0,Teusaquillo , Bogotá D.C.
Pulsar 180 Fi Neon Pulsarmania ,2023,9474000.0,Teusaquillo , Bogotá D.C.
Honda Cb 190r Racing 2024,2023,13750000.0,Suba , Bogotá D.C.
Pulsar 180 Pro Fi Modelo 2023,2023,9474000.0,Teusaquillo , Bogotá D.C.
Pulsar Mania  Ns 160 Fi ,2023,9924000.0,Cali , Valle Del Cauca
Pulsar Ns 200 Fi Abs,2023,13024000.0,Cali , Valle Del Cauca
Boxer Ct 100 Es Alloy Titanium Credito Cali Valle,2023,6199000.0,Cali , Valle Del Cauca
Bajaj Pulsar Ns 200 Fi Abs Pulsarmania,2023,13699000.0,Antonio Nariño , Bogotá D.C.
Pulsar 150 Neon 2023,2022,8024000.0,Teusaquillo , Bogotá D.C.
Fz150 Yamaha  Modelo 2024,2024,10600000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi Abs Cali,2024,13399000.0,Cali , Valle Del Cauca
